Customer ID,R_2010,F_2010,M_2010,R_2011,F_2011,M_2011
12346,185.0,2.0,169.36,325.0,1.0,77183.6
12347,23.0,2.0,1323.32,1.0,6.0,3598.21
12348,14.0,2.0,873.9599999999999,74.0,3.0,784.44
12349,63.0,2.0,2221.14,18.0,1.0,1457.55
12352,31.0,2.0,343.8,35.0,7.0,1385.74
12356,36.0,3.0,3124.3,22.0,3.0,2487.43
12358,31.0,3.0,2519.01,1.0,2.0,928.0600000000001
12359,81.0,6.0,2563.36,57.0,4.0,6310.03
12360,48.0,3.0,1310.83,51.0,3.0,2302.06
12361,118.0,3.0,276.35,286.0,1.0,174.9
12362,,0.0,0.0,2.0,10.0,4737.23
12364,,0.0,0.0,7.0,4.0,1208.1
12369,69.0,3.0,1511.15,,0.0,0.0
12370,13.0,5.0,2278.89,50.0,2.0,1677.67
12371,65.0,3.0,1819.42,59.0,1.0,1527.96
12372,,0.0,0.0,71.0,3.0,1196.04
12373,280.0,2.0,603.0500000000001,310.0,1.0,324.6
12374,77.0,2.0,2046.29,24.0,1.0,622.93
12377,10.0,3.0,2719.72,314.0,1.0,546.6
12379,78.0,2.0,692.98,81.0,2.0,777.24
12380,121.0,4.0,4782.84,21.0,4.0,2427.81
12381,,0.0,0.0,4.0,3.0,1474.81
12383,8.0,1.0,555.72,184.0,4.0,1072.84
12388,101.0,2.0,1120.45,15.0,6.0,2780.66
12389,58.0,3.0,1433.33,,0.0,0.0
12391,120.0,5.0,2285.18,21.0,1.0,439.66
12393,38.0,2.0,816.85,71.0,4.0,1582.6000000000001
12395,13.0,5.0,2148.46,18.0,10.0,2092.71
12399,41.0,3.0,808.65,118.0,4.0,1033.65
12402,48.0,5.0,941.3,322.0,1.0,195.6
12406,55.0,3.0,2975.06,21.0,2.0,3415.3
12407,,0.0,0.0,49.0,5.0,1507.1200000000001
12408,41.0,3.0,1287.22,32.0,5.0,2618.55
12409,76.0,4.0,12346.619999999999,78.0,3.0,11072.67
12410,158.0,1.0,240.38,308.0,2.0,533.33
12412,58.0,3.0,1262.05,74.0,3.0,1142.88
12413,58.0,1.0,185.35,66.0,3.0,686.1
12414,119.0,1.0,90.0,216.0,3.0,442.41
12415,31.0,4.0,19468.84,23.0,20.0,124564.53
12417,13.0,12.0,3033.65,2.0,8.0,2964.76
12418,69.0,3.0,1352.62,112.0,1.0,668.58
12421,71.0,2.0,235.56,15.0,4.0,639.04
12422,50.0,9.0,2955.79,95.0,3.0,683.5600000000001
12423,9.0,3.0,860.01,0.0,7.0,1441.38
12424,78.0,2.0,1579.07,162.0,2.0,1760.96
12427,27.0,1.0,249.5,21.0,2.0,450.3
12428,,0.0,0.0,25.0,8.0,6405.26
12429,21.0,5.0,3591.51,8.0,3.0,2250.9
12431,13.0,12.0,4493.72,35.0,13.0,5608.5
12432,,0.0,0.0,42.0,4.0,4359.32
12433,22.0,5.0,7205.39,0.0,5.0,9588.75
12434,37.0,1.0,297.29,84.0,2.0,806.14
12435,52.0,4.0,6096.04,79.0,2.0,7829.89
12437,51.0,20.0,6834.99,1.0,18.0,4447.41
12444,,0.0,0.0,20.0,5.0,4085.46
12449,94.0,1.0,678.6,21.0,4.0,3596.29
12450,55.0,3.0,490.32,155.0,2.0,197.88
12451,119.0,3.0,3634.36,10.0,5.0,8995.52
12454,51.0,3.0,12931.44,55.0,1.0,3528.34
12455,101.0,4.0,3383.09,72.0,5.0,2339.86
12456,,0.0,0.0,43.0,3.0,2581.04
12457,91.0,1.0,512.68,65.0,6.0,2043.23
12458,83.0,2.0,715.09,70.0,2.0,787.4
12463,,0.0,0.0,52.0,4.0,1200.78
12464,,0.0,0.0,9.0,8.0,957.05
12468,182.0,3.0,2581.2,187.0,2.0,657.54
12471,13.0,47.0,20974.21,1.0,24.0,14125.69
12472,25.0,13.0,10426.48,31.0,6.0,4544.81
12473,,0.0,0.0,53.0,3.0,2585.73
12474,34.0,11.0,4616.66,16.0,18.0,6694.09
12476,17.0,8.0,6433.9400000000005,15.0,10.0,5885.97
12477,55.0,3.0,7056.63,22.0,6.0,13219.74
12480,55.0,3.0,1949.22,27.0,4.0,2885.63
12481,10.0,6.0,6695.03,22.0,8.0,4338.48
12482,232.0,27.0,21941.72,,0.0,0.0
12483,34.0,11.0,2158.2000000000003,16.0,8.0,1910.98
12484,139.0,5.0,1617.78,34.0,4.0,3939.32
12488,,0.0,0.0,9.0,3.0,1244.66
12490,34.0,10.0,3904.71,4.0,10.0,4859.93
12492,59.0,1.0,380.0,62.0,2.0,227.21
12494,14.0,4.0,523.72,15.0,5.0,1039.55
12497,56.0,2.0,5043.400000000001,81.0,1.0,953.1
12498,,0.0,0.0,20.0,3.0,349.70000000000005
12500,91.0,7.0,1499.39,22.0,11.0,4059.82
12502,,0.0,0.0,95.0,5.0,2995.87
12504,73.0,2.0,261.0,17.0,2.0,428.04999999999995
12507,240.0,1.0,455.25,133.0,3.0,1052.81
12510,115.0,5.0,2224.46,142.0,2.0,814.5699999999999
12516,86.0,2.0,1102.56,77.0,2.0,1186.06
12517,,0.0,0.0,27.0,4.0,2301.6
12518,,0.0,0.0,0.0,5.0,1840.89
12520,,0.0,0.0,78.0,5.0,2346.2599999999998
12523,30.0,12.0,2310.58,18.0,11.0,1699.77
