Customer ID,Segment_Code_2010,Segment_Code_2011,Segment_2010_Name,Segment_2011_Name
12346,0.0,3.0,Low-Value,Loyal Customer
12347,0.0,1.0,Low-Value,High-Value Customer
12348,0.0,3.0,Low-Value,Loyal Customer
12349,2.0,0.0,At-Risk ,Low-Value
12352,3.0,1.0,Loyal Customer,High-Value Customer
12356,3.0,3.0,Loyal Customer,Loyal Customer
12358,3.0,0.0,Loyal Customer,Low-Value
12359,2.0,3.0,At-Risk ,Loyal Customer
12360,3.0,3.0,Loyal Customer,Loyal Customer
12361,0.0,2.0,Low-Value,At-Risk 
12362,,1.0,New Customer,High-Value Customer
12364,,0.0,New Customer,Low-Value
12369,2.0,,At-Risk ,Lost Customer
12370,0.0,3.0,Low-Value,Loyal Customer
12371,2.0,3.0,At-Risk ,Loyal Customer
12372,,3.0,New Customer,Loyal Customer
12373,0.0,2.0,Low-Value,At-Risk 
12374,2.0,2.0,At-Risk ,At-Risk 
12377,3.0,3.0,Loyal Customer,Loyal Customer
12379,0.0,2.0,Low-Value,At-Risk 
12380,2.0,3.0,At-Risk ,Loyal Customer
12381,,0.0,New Customer,Low-Value
12383,,3.0,New Customer,Loyal Customer
12388,2.0,1.0,At-Risk ,High-Value Customer
12389,2.0,,At-Risk ,Lost Customer
12391,2.0,2.0,At-Risk ,At-Risk 
12393,3.0,3.0,Loyal Customer,Loyal Customer
12395,2.0,1.0,At-Risk ,High-Value Customer
12399,3.0,3.0,Loyal Customer,Loyal Customer
12402,3.0,2.0,Loyal Customer,At-Risk 
12406,2.0,3.0,At-Risk ,Loyal Customer
12407,,3.0,New Customer,Loyal Customer
12408,3.0,3.0,Loyal Customer,Loyal Customer
12409,1.0,3.0,High-Value Customer,Loyal Customer
12410,0.0,2.0,Low-Value,At-Risk 
12412,2.0,3.0,At-Risk ,Loyal Customer
12413,0.0,3.0,Low-Value,Loyal Customer
12414,0.0,2.0,Low-Value,At-Risk 
12415,1.0,-1.0,High-Value Customer,TOP VIP
12417,1.0,1.0,High-Value Customer,High-Value Customer
12418,2.0,2.0,At-Risk ,At-Risk 
12421,0.0,0.0,Low-Value,Low-Value
12422,1.0,3.0,High-Value Customer,Loyal Customer
12423,3.0,1.0,Loyal Customer,High-Value Customer
12424,2.0,3.0,At-Risk ,Loyal Customer
12427,,0.0,New Customer,Low-Value
12428,,1.0,New Customer,High-Value Customer
12429,2.0,1.0,At-Risk ,High-Value Customer
12431,1.0,-1.0,High-Value Customer,TOP VIP
12432,,3.0,New Customer,Loyal Customer
12433,2.0,1.0,At-Risk ,High-Value Customer
12434,0.0,2.0,Low-Value,At-Risk 
12435,1.0,3.0,High-Value Customer,Loyal Customer
12437,-1.0,1.0,TOP VIP,High-Value Customer
12444,,1.0,New Customer,High-Value Customer
12449,0.0,1.0,Low-Value,High-Value Customer
