Date,Actual_Sales,Predicted_Sales
2009-12-06,231137.45,
2009-12-13,205533.06,
2009-12-20,205894.72,
2009-12-27,35350.840000000004,
2010-01-10,165419.16,
2010-01-17,122288.87,
2010-01-24,116041.26,
2010-01-31,129963.69,
2010-02-07,109904.66,
2010-02-14,78153.01,
2010-02-21,158682.39,
2010-02-28,151197.51,
2010-03-07,150008.42,
2010-03-14,117923.7,
2010-03-21,149572.02,
2010-03-28,158621.45,
2010-04-04,118088.74,
2010-04-11,123636.08,
2010-04-18,140095.28,
2010-04-25,135990.48,
2010-05-02,169456.1,
2010-05-09,146908.71,
2010-05-16,154825.94,
2010-05-23,137463.4,
2010-05-30,141244.91,
2010-06-06,90074.16,
2010-06-13,197046.26,
2010-06-20,125695.37,
2010-06-27,102584.06,
2010-07-04,168738.19,
2010-07-11,135288.1,
2010-07-18,143701.68,
2010-07-25,132715.66,
2010-08-01,144886.58,
2010-08-08,116229.34,
2010-08-15,138107.12,
2010-08-22,153423.04,
2010-08-29,135724.78,
2010-09-05,119316.69,
2010-09-12,118221.54,
2010-09-19,154318.87,
2010-09-26,222136.72,
2010-10-03,284709.21,
2010-10-10,237886.26,
2010-10-17,290740.15,
2010-10-24,218555.17,
2010-10-31,191861.14,
2010-11-07,260856.32,
2010-11-14,280970.77,
2010-11-21,257560.1,
2010-11-28,244289.79,
2010-12-05,259937.52,
2010-12-12,210678.74,
2010-12-19,161598.8,
2010-12-26,45285.91,
2011-01-09,113473.05,
2011-01-16,152926.9,
2011-01-23,174134.48,
2011-01-30,103720.0,
2011-02-06,104512.86,
2011-02-13,87310.19,
2011-02-20,124934.16,
2011-02-27,129241.58,
2011-03-06,115046.07,
2011-03-13,108169.46,
2011-03-20,136264.33,
2011-03-27,127363.77,
2011-04-03,141870.33,
2011-04-10,109862.03,
2011-04-17,133494.66,
2011-04-24,114858.63,
2011-05-01,72192.84,
2011-05-08,121940.12,
2011-05-15,176191.24,
2011-05-22,194157.79,
2011-05-29,142464.33,
2011-06-05,100823.12,
2011-06-12,192059.75,
2011-06-19,170215.68,
2011-06-26,110496.42,
2011-07-03,115309.02,
2011-07-10,129823.84,
2011-07-17,116022.66,
2011-07-24,165135.44,
2011-07-31,162657.68,
2011-08-07,154466.53,
2011-08-14,139776.63,
2011-08-21,166426.47,
2011-08-28,146141.86000000002,
2011-09-04,111302.75,
2011-09-11,164403.3,
2011-09-18,205910.51,
2011-09-25,305842.23,
2011-10-02,191476.71,
2011-10-09,290241.43,
2011-10-16,200236.0,
2011-10-23,245694.08,
2011-10-30,222809.78,
2011-11-06,256548.01,
2011-11-13,259486.76,
2011-11-20,269875.89,
2011-11-27,243833.07,
2011-12-04,246817.39,
2011-12-11,404066.25,
2011-12-11,,404066.25
2011-12-18,,229561.68794346994
2011-12-25,,181566.6880231057
2012-01-01,,66149.00882883475
2012-01-08,,134725.57456052216
2012-01-15,,175553.22955118198
2012-01-22,,197243.76205104982
2012-01-29,,127097.09541175421
2012-02-05,,128171.255658671
